id,name,price,description,badge,category,brand,image
56,CHOCO,$0.60 ,TWIX CHOCO 50G*25,HOT SALE,Drinks,Twix,image0228.jpg
57,BUNNIES,$2.50 ,REESE'S BUNNIES 70G,,Snacks,Reese'S,image0229.jpg
58,OREO CHOCO CUPS,$2.75 ,NEW*REESE'S OREO CHOCO CUPS 39G*24,,Candies,Reese'S,image0230.jpg
59,CHOCO PRINCE,$0.33 ,LU CHOCO PRINCE 28.5G,,Chocolates,Lu,image0231.jpg
60,CHOCO BURGER,$0.50 ,OZMO CHOCO BURGER 40G,-10% OFF,Chocolates,Ozmo,image0232.jpg
61,ALBENI CHOCO,$0.35 ,ULKER ALBENI CHOCO 40G*24,HOT SALE,Drinks,Ulker,image0233.jpg
62,CENT WAFER,$0.75 ,LU CENT WAFER 45G,,Candies,Lu,image0234.jpg
63,GARDENIA HAZELNUT 5PK,$3.75 ,LOACKER GARDENIA HAZELNUT 38G 5PK,HOT SALE,Candies,Loacker,image0235.jpg
64,BLACK & WHITE CHOCO WAFER,$0.45 ,KNOPPERS BLACK & WHITE CHOCO WAFER 25G*24,-10% OFF,Drinks,Knoppers,image0236.jpg
65,MINI CUP,$2.00 ,OREO MINI CUP 115G*8,,Snacks,Oreo,image0237.jpg
66,ENROBED CHOCO,$0.85 ,OREO ENROBED CHOCO 41G*24,,Drinks,Oreo,image0238.jpg
67,7 DAYS BAKE ROLLS SOUR CREAM & ONION*12,$1.25 ,7 DAYS BAKE ROLLS SOUR CREAM & ONION*12,,Candies,7 DAYS,image0106.jpg
68,7 DAYS BAKE ROLLS SALT*12,$1.25 ,7 DAYS BAKE ROLLS SALT*12,,Snacks,7 DAYS,image0107.jpg
69,7 DAYS BAKE ROLLS PIZZA*12,$1.25 ,7 DAYS BAKE ROLLS PIZZA*12,,Candies,7 DAYS,image0108.jpg
70,7 DAYS SWISS ROLL CHOCO,$2.25 ,7 DAYS SWISS ROLL CHOCO,HOT SALE,Candies,7 DAYS,image0109.jpg
71,7 DAYS SWISS ROLL STRAWBERRY,$2.25 ,7 DAYS SWISS ROLL STRAWBERRY,,Chocolates,7 DAYS,image0110.jpg
72,7 DAYS SWISS ROLL CHOCO MILK,$2.25 ,7 DAYS SWISS ROLL CHOCO MILK,,Drinks,7 DAYS,image0111.jpg
73,7 DAYS SWISS ROLL COCOA,$2.25 ,7 DAYS SWISS ROLL COCOA,,Snacks,7 DAYS,image0112.jpg
74,CHOCO CROISSANT,$0.45 ,7DAYS CHOCO CROISSANT 55G*24,-10% OFF,Snacks,7Days,image0261.jpg
75,PANDA CHOCO COOKIE42G*10,$0.99 ,HELLO PANDA CHOCO COOKIE42G*10,,Candies,Hello,image0239.jpg
76,PANDA DOUBLE CHOCO,$0.99 ,HELLO PANDA DOUBLE CHOCO 42G*10,,Snacks,Hello,image0240.jpg
77,PANDA STRAWBERRY,$0.99 ,HELLO PANDA STRAWBERRY 42G*10,,Drinks,Hello,image0241.jpg
78,PANDA CARAMEL 42.G*10,$0.99 ,HELLO PANDA CARAMEL 42.G*10,,Candies,Hello,image0242.jpg
79,PANDA CREAM &COOKIES,$0.99 ,HELLO PANDA CREAM &COOKIES 42G*10,,Chocolates,Hello,image0243.jpg
80,AFINE,$3.00 ,REDBULL AFINE 250ML*12,,Drinks,Red Bull,image0004.jpg
81,WILD BERRY SUGAR FREE,$3.00 ,REDBULL WILD BERRY 250ML*12 SUGAR FREE,,Snacks,Red Bull,image0005.jpg
82,WATERMELON,$3.00 ,REDBULL WATERMELON 250ML,,Chocolates,Red Bull,image0006.jpg
83,MILLIONS STRAWBERRY,$1.99 ,C4 MILLIONS STRAWBERRY 500ML*12 PROMO,,Candies,C4,image0007.jpg
84,ULTRA WHITE DRINK SUGAR FREE,$2.10 ,MONSTER ULTRA WHITE DRINK 500ML SUGAR FREE,,Drinks,Monster,image0008.jpg
85,ENERGY DRINK GREEN,$2.10 ,MONSTER ENERGY DRINK GREEN 500ML,,Snacks,Monster,image0009.jpg
86,LIMONADA ENERGY DRINK,$2.10 ,MONSTER LIMONADA ENERGY DRINK 500ML*24,,Chocolates,Monster,image0010.jpg
87,PIEPLINE PUNCH,$2.10 ,MONSTER PIEPLINE PUNCH 500ML,HOT SALE,Drinks,Monster,image0011.jpg
88,"ULTRA PARADISE S,FREE",$2.35 ,"MONSTER ULTRA PARADISE 500ML*12 S,FREE",,Snacks,Monster,image0012.jpg
89,ULTRA PEACHY KEEN SUGAR FREE,$2.35 ,MONSTER ULTRA PEACHY KEEN 500ML*12 SUGAR FREE,,Candies,Monster,image0013.jpg
90,LANDO NORRIS ENERGY DRINK SUGAR FREE,$2.35 ,NEW*MONSTER LANDO NORRIS ENERGY DRINK 500ML*12 SUGAR FREE,-10% OFF,Snacks,Monster,image0014.jpg
91,FULL THROTTLE ENEGRY DRINK SUGAR FREE,$2.35 ,MONSTER FULL THROTTLE ENEGRY DRINK 500ML*12 SUGAR FREE,,Snacks,Monster,image0015.jpg
92,ABSOLUTE ENERGY DRINK SUGAR FREE,$2.35 ,MONSTER ABSOLUTE ENERGY DRINK 500ML SUGAR FREE,,Candies,Monster,image0016.jpg
93,ULTRA GOLD PINEAPPLE ENERGY DRINK SUGAR FREE,$2.35 ,MONSTER ULTRA GOLD PINEAPPLE ENERGY DRINK 500ML*12 SUGAR FREE,,Snacks,Monster,image0017.jpg
94,MONARCH ENERGY N JUICE DRINK,$2.35 ,MONSTER MONARCH ENERGY N JUICE DRINK 500ML,,Candies,Monster,image0018.jpg
95,RIO,$2.35 ,MONSTER RIO 500ML,,Chocolates,Monster,image0019.jpg
96,JUICE MANGO LOGO DRINK,$2.35 ,MONSTER JUICE MANGO LOGO DRINK 500ML*24,,Candies,Monster,image0020.jpg
97,THE DOCTOR,$2.35 ,MONSTER THE DOCTOR 500ML*12,,Chocolates,Monster,image0021.jpg
98,ENERGY DRINK JUICED KHAOTIC,$2.35 ,MONSTER ENERGY DRINK JUICED KHAOTIC 500ML*12,,Drinks,Monster,image0022.jpg
99,PACIFIC PUNCH,$2.35 ,MONSTER PACIFIC PUNCH 500ML*12,,Chocolates,Monster,image0023.jpg
100,"ULTRA FIESTA MANGO S,FREE",$2.85 ,MONSTER ULTRA FIESTA MANGO 500ML*12 SUGAR FREE,-10% OFF,Drinks,Monster,image0024.jpg
101,ULTRA STRAWBERRY DREAMS S.FREE,$2.85 ,MONSTER ULTRA STRAWBERRY DREAMS 500ML*12 SUGAR FREE,,Drinks,Monster,image0025.jpg
102,PUNCH MIXXD,$2.85 ,MONSTER PUNCH MIXXD 500ML*12,,Chocolates,Monster,image0026.jpg
103,NITRO COSMIC PEACH,$2.85 ,MONSTER NITRO COSMIC PEACH 500ML*12,HOT SALE,Drinks,Monster,image0027.jpg
104,VIKING BERRY,$2.85 ,MONSTER VIKING BERRY 500ML*12,,Chocolates,Monster,image0028.jpg
105,POP TARTS FROSTED HOT FUDGE SUNDAE,$2.00 ,POP TARTS FROSTED HOT FUDGE SUNDAE 96G*6,,Candies,KELLOGG'S,image0262.jpg
106,POP TARTS CHOCO CHIP,$2.00 ,K.POP TARTS CHOCO CHIP 96G*6,HOT SALE,Candies,KELLOGG'S,image0263.jpg
107,POP TARTS CINNAMON ROLL,$2.00 ,K.POP TARTS CINNAMON ROLL 96G*6,,Snacks,KELLOGG'S,image0264.jpg
108,POP TARTS FRSTD SMORES,$2.00 ,K.POP TARTS FRSTD SMORES 96G*6,,Candies,KELLOGG'S,image0265.jpg
109,POP TARTS BROWN SUGAR,$2.00 ,K.POP TARTS BROWN SUGAR 96G*6,,Chocolates,KELLOGG'S,image0266.jpg
110,DRAGON,$2.30 ,TAKIS DRAGON 90G,,Candies,Takis,image0094.jpg
111,QUESO VOLCANO,$2.30 ,TAKIS QUESO VOLCANO 90G,,Candies,Takis,image0095.jpg
112,NACHOS,$2.30 ,TAKIS NACHOS 90G,HOT SALE,Drinks,Takis,image0096.jpg
113,BLUE HEAT,$2.30 ,TAKIS BLUE HEAT 90G,,Drinks,Takis,image0097.jpg
114,BUCKIN RANCH,$2.30 ,TAKIS BUCKIN RANCH 90G,,Candies,Takis,image0098.jpg
115,BUCKIN RANCH,$1.35 ,TAKIS BUCKIN RANCH 55G,-10% OFF,Chocolates,Takis,image0099.jpg
116,INTENSE NACHO,$1.35 ,TAKIS INTENSE NACHO 55G,,Drinks,Takis,image0100.jpg
117,VOLCANO,$1.35 ,TAKIS VOLCANO 55G,,Snacks,Takis,image0101.jpg
118,BLUE HEAT,$1.35 ,TAKIS BLUE HEAT 55G,HOT SALE,Snacks,Takis,image0102.jpg
119,FUEGO,$1.35 ,TAKIS FUEGO 55G,,Candies,Takis,image0103.jpg
120,STAX CHEDDAR CHEESE,$2.75 ,LAY'S STAX CHEDDAR CHEESE 170G,,Snacks,Lay'S,image0104.jpg
121,STAX ORIGINAL,$2.75 ,LAY'S STAX ORIGINAL 170G,,Chocolates,Lay'S,image0105.jpg
122,CEREAL GLUTEN FREE,$8.00 ,TRIX CEREAL 303G GLUTEN FREE,-10% OFF,Snacks,Trix,image0074.jpg
123,CEREAL,$6.00 ,TRIX CEREAL 300G,-10% OFF,Snacks,Trix,image0075.jpg
124,ALPHABET CHOCO CEREAL,$6.00 ,NESQUIK ALPHABET CHOCO CEREAL 325G,-10% OFF,Drinks,Nesquik,image0076.jpg
125,CHOCO CEREAL,$5.50 ,LION CHOCO CEREAL 400G,-10% OFF,Snacks,Lion,image0077.jpg
